Linux 6.1.84-8-rk2410 (rock-5c) 	02/25/2026 	_aarch64_	(8 CPU)

12:41:31 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:41:32 PM  1000     16845         -   39.00   72.00    0.00    0.00  111.00     3  cv
12:41:32 PM  1000         -     16845    0.00    0.00    0.00    0.00    0.00     3  |__cv
12:41:32 PM  1000         -     16846    2.00    8.00    0.00    5.00   10.00     4  |__worker
12:41:32 PM  1000         -     16847    3.00    7.00    0.00    3.00   10.00     5  |__worker
12:41:32 PM  1000         -     16848    5.00    5.00    0.00    1.00   10.00     6  |__worker
12:41:32 PM  1000         -     16849    2.00    8.00    0.00    1.00   10.00     7  |__worker
12:41:32 PM  1000         -     16850    3.00    6.00    0.00    7.00    9.00     4  |__worker
12:41:32 PM  1000         -     16851    3.00    7.00    0.00    6.00   10.00     5  |__worker
12:41:32 PM  1000         -     16852    0.00    0.00    0.00    0.00    0.00     2  |__cv
12:41:32 PM  1000         -     16871    8.00   21.00    0.00    2.00   29.00     4  |__cv
12:41:32 PM  1000         -     16872   10.00    8.00    0.00    0.00   18.00     3  |__Aggregator
12:41:32 PM  1000         -     16873    1.00    1.00    0.00    0.00    2.00     3  |__cv
12:41:32 PM  1000         -     16874    1.00    2.00    0.00    0.00    3.00     7  |__cv
12:41:33 PM  1000     16845         -   34.00   69.00    0.00    0.00  103.00     3  cv
12:41:33 PM  1000         -     16845    0.00    0.00    0.00    0.00    0.00     3  |__cv
12:41:33 PM  1000         -     16846    3.00    6.00    0.00    4.00    9.00     4  |__worker
12:41:33 PM  1000         -     16847    4.00    5.00    0.00    2.00    9.00     5  |__worker
12:41:33 PM  1000         -     16848    3.00    6.00    0.00    1.00    9.00     6  |__worker
12:41:33 PM  1000         -     16849    4.00    5.00    0.00    2.00    9.00     7  |__worker
12:41:33 PM  1000         -     16850    3.00    7.00    0.00    6.00   10.00     4  |__worker
12:41:33 PM  1000         -     16851    1.00    8.00    0.00    6.00    9.00     5  |__worker
12:41:33 PM  1000         -     16852    0.00    0.00    0.00    0.00    0.00     2  |__cv
12:41:33 PM  1000         -     16871    7.00   17.00    0.00    2.00   24.00     2  |__cv
12:41:33 PM  1000         -     16872    8.00   11.00    0.00    0.00   19.00     3  |__Aggregator
12:41:33 PM  1000         -     16873    1.00    0.00    0.00    0.00    1.00     4  |__cv
12:41:33 PM  1000         -     16874    0.00    3.00    0.00    0.00    3.00     7  |__cv
12:41:34 PM  1000     16845         -   41.00   85.00    0.00    0.00  126.00     3  cv
12:41:34 PM  1000         -     16845    0.00    0.00    0.00    0.00    0.00     3  |__cv
12:41:34 PM  1000         -     16846    2.00    9.00    0.00    2.00   11.00     4  |__worker
12:41:34 PM  1000         -     16847    4.00    6.00    0.00    4.00   10.00     5  |__worker
12:41:34 PM  1000         -     16848    3.00   10.00    0.00    0.00   13.00     6  |__worker
12:41:34 PM  1000         -     16849    3.00    9.00    0.00    1.00   12.00     7  |__worker
12:41:34 PM  1000         -     16850    2.00    8.00    0.00    8.00   10.00     4  |__worker
12:41:34 PM  1000         -     16851    4.00    7.00    0.00    6.00   11.00     5  |__worker
12:41:34 PM  1000         -     16852    0.00    0.00    0.00    0.00    0.00     2  |__cv
12:41:34 PM  1000         -     16871   11.00   20.00    0.00    2.00   31.00     2  |__cv
12:41:34 PM  1000         -     16872   11.00   11.00    0.00    0.00   22.00     7  |__Aggregator
12:41:34 PM  1000         -     16873    1.00    1.00    0.00    0.00    2.00     7  |__cv
12:41:34 PM  1000         -     16874    1.00    4.00    0.00    0.00    5.00     3  |__cv
12:41:35 PM  1000     16845         -   26.00   72.00    0.00    0.00   98.00     3  cv
12:41:35 PM  1000         -     16845    0.00    0.00    0.00    0.00    0.00     3  |__cv
12:41:35 PM  1000         -     16846    3.00    7.00    0.00    4.00   10.00     4  |__worker
12:41:35 PM  1000         -     16847    2.00    6.00    0.00    1.00    8.00     5  |__worker
12:41:35 PM  1000         -     16848    2.00    6.00    0.00    1.00    8.00     6  |__worker
12:41:35 PM  1000         -     16849    3.00    7.00    0.00    1.00   10.00     7  |__worker
12:41:35 PM  1000         -     16850    2.00    7.00    0.00    7.00    9.00     4  |__worker
12:41:35 PM  1000         -     16851    2.00    6.00    0.00    6.00    8.00     5  |__worker
12:41:35 PM  1000         -     16852    0.00    0.00    0.00    0.00    0.00     2  |__cv
12:41:35 PM  1000         -     16871    4.00   17.00    0.00    3.00   21.00     4  |__cv
12:41:35 PM  1000         -     16872    6.00   11.00    0.00    0.00   17.00     3  |__Aggregator
12:41:35 PM  1000         -     16873    0.00    1.00    0.00    0.00    1.00     5  |__cv
12:41:35 PM  1000         -     16874    0.00    3.00    0.00    0.00    3.00     2  |__cv
12:41:36 PM  1000     16845         -   36.00   90.00    0.00    0.00  126.00     3  cv
12:41:36 PM  1000         -     16845    0.00    0.00    0.00    0.00    0.00     3  |__cv
12:41:36 PM  1000         -     16846    2.00    9.00    0.00    9.00   11.00     4  |__worker
12:41:36 PM  1000         -     16847    3.00   10.00    0.00    6.00   13.00     5  |__worker
12:41:36 PM  1000         -     16848    4.00    9.00    0.00    1.00   13.00     6  |__worker
12:41:36 PM  1000         -     16849    4.00    9.00    0.00    0.00   13.00     7  |__worker
12:41:36 PM  1000         -     16850    3.00   10.00    0.00    7.00   13.00     4  |__worker
12:41:36 PM  1000         -     16851    5.00    7.00    0.00    7.00   12.00     5  |__worker
12:41:36 PM  1000         -     16852    0.00    0.00    0.00    0.00    0.00     2  |__cv
12:41:36 PM  1000         -     16871    6.00   17.00    0.00    3.00   23.00     1  |__cv
12:41:36 PM  1000         -     16872    8.00   15.00    0.00    1.00   23.00     0  |__Aggregator
12:41:36 PM  1000         -     16873    1.00    1.00    0.00    0.00    2.00     5  |__cv
12:41:36 PM  1000         -     16874    0.00    4.00    0.00    0.00    4.00     2  |__cv
12:41:37 PM  1000     16845         -   35.00   70.00    0.00    0.00  105.00     3  cv
12:41:37 PM  1000         -     16845    0.00    0.00    0.00    0.00    0.00     3  |__cv
12:41:37 PM  1000         -     16846    3.00    8.00    0.00    3.00   11.00     4  |__worker
12:41:37 PM  1000         -     16847    5.00    4.00    0.00    3.00    9.00     5  |__worker
12:41:37 PM  1000         -     16848    3.00    8.00    0.00    0.00   11.00     6  |__worker
12:41:37 PM  1000         -     16849    2.00    8.00    0.00    1.00   10.00     7  |__worker
12:41:37 PM  1000         -     16850    2.00    7.00    0.00    5.00    9.00     4  |__worker
12:41:37 PM  1000         -     16851    2.00    9.00    0.00    7.00   11.00     5  |__worker
12:41:37 PM  1000         -     16852    0.00    0.00    0.00    0.00    0.00     2  |__cv
12:41:37 PM  1000         -     16871    8.00   13.00    0.00    3.00   21.00     0  |__cv
12:41:37 PM  1000         -     16872   10.00    9.00    0.00    0.00   19.00     7  |__Aggregator
12:41:37 PM  1000         -     16873    2.00    1.00    0.00    0.00    3.00     7  |__cv
12:41:37 PM  1000         -     16874    0.00    2.00    0.00    1.00    2.00     2  |__cv
12:41:38 PM  1000     16845         -   36.00   86.00    0.00    0.00  122.00     3  cv
12:41:38 PM  1000         -     16845    0.00    0.00    0.00    0.00    0.00     3  |__cv
12:41:38 PM  1000         -     16846    2.00    8.00    0.00    5.00   10.00     4  |__worker
12:41:38 PM  1000         -     16847    2.00    8.00    0.00    4.00   10.00     5  |__worker
12:41:38 PM  1000         -     16848    3.00   10.00    0.00    0.00   13.00     6  |__worker
12:41:38 PM  1000         -     16849    4.00    9.00    0.00    2.00   13.00     7  |__worker
12:41:38 PM  1000         -     16850    4.00    6.00    0.00    7.00   10.00     4  |__worker
12:41:38 PM  1000         -     16851    3.00    8.00    0.00    7.00   11.00     5  |__worker
12:41:38 PM  1000         -     16852    0.00    0.00    0.00    0.00    0.00     2  |__cv
12:41:38 PM  1000         -     16871    8.00   21.00    0.00    2.00   29.00     1  |__cv
12:41:38 PM  1000         -     16872    9.00   11.00    0.00    1.00   20.00     2  |__Aggregator
12:41:38 PM  1000         -     16873    1.00    0.00    0.00    0.00    1.00     4  |__cv
12:41:38 PM  1000         -     16874    0.00    5.00    0.00    0.00    5.00     3  |__cv
12:41:39 PM  1000     16845         -   31.00   72.00    0.00    0.00  103.00     3  cv
12:41:39 PM  1000         -     16845    0.00    0.00    0.00    0.00    0.00     3  |__cv
12:41:39 PM  1000         -     16846    3.00    6.00    0.00    5.00    9.00     4  |__worker
12:41:39 PM  1000         -     16847    3.00    7.00    0.00    5.00   10.00     5  |__worker
12:41:39 PM  1000         -     16848    4.00    7.00    0.00    3.00   11.00     6  |__worker
12:41:39 PM  1000         -     16849    3.00    7.00    0.00    0.00   10.00     7  |__worker
12:41:39 PM  1000         -     16850    3.00    6.00    0.00    2.00    9.00     4  |__worker
12:41:39 PM  1000         -     16851    1.00    7.00    0.00    3.00    8.00     5  |__worker
12:41:39 PM  1000         -     16852    0.00    0.00    0.00    0.00    0.00     2  |__cv
12:41:39 PM  1000         -     16871    8.00   14.00    0.00    2.00   22.00     7  |__cv
12:41:39 PM  1000         -     16872    6.00   15.00    0.00    0.00   21.00     2  |__Aggregator
12:41:39 PM  1000         -     16873    1.00    1.00    0.00    0.00    2.00     6  |__cv
12:41:39 PM  1000         -     16874    1.00    3.00    0.00    0.00    4.00     7  |__cv
12:41:40 PM  1000     16845         -   32.00   86.00    0.00    0.00  118.00     3  cv
12:41:40 PM  1000         -     16845    0.00    0.00    0.00    0.00    0.00     3  |__cv
12:41:40 PM  1000         -     16846    2.00   11.00    0.00    6.00   13.00     4  |__worker
12:41:40 PM  1000         -     16847    4.00    7.00    0.00    6.00   11.00     5  |__worker
12:41:40 PM  1000         -     16848    3.00   10.00    0.00    0.00   13.00     6  |__worker
12:41:40 PM  1000         -     16849    4.00    9.00    0.00    2.00   13.00     7  |__worker
12:41:40 PM  1000         -     16850    4.00    8.00    0.00    9.00   12.00     4  |__worker
12:41:40 PM  1000         -     16851    3.00    9.00    0.00    6.00   12.00     5  |__worker
12:41:40 PM  1000         -     16852    0.00    0.00    0.00    0.00    0.00     2  |__cv
12:41:40 PM  1000         -     16871    3.00   15.00    0.00    3.00   18.00     7  |__cv
12:41:40 PM  1000         -     16872    6.00   13.00    0.00    0.00   19.00     4  |__Aggregator
12:41:40 PM  1000         -     16873    1.00    1.00    0.00    0.00    2.00     2  |__cv
12:41:40 PM  1000         -     16874    0.00    3.00    0.00    0.00    3.00     3  |__cv
12:41:41 PM  1000     16845         -   31.00   69.00    0.00    0.00  100.00     3  cv
12:41:41 PM  1000         -     16845    0.00    0.00    0.00    0.00    0.00     3  |__cv
12:41:41 PM  1000         -     16846    2.00    7.00    0.00    2.00    9.00     4  |__worker
12:41:41 PM  1000         -     16847    3.00    6.00    0.00    4.00    9.00     5  |__worker
12:41:41 PM  1000         -     16848    3.00    7.00    0.00    0.00   10.00     6  |__worker
12:41:41 PM  1000         -     16849    2.00    9.00    0.00    0.00   11.00     7  |__worker
12:41:41 PM  1000         -     16850    2.00    8.00    0.00    6.00   10.00     4  |__worker
12:41:41 PM  1000         -     16851    3.00    4.00    0.00    5.00    7.00     5  |__worker
12:41:41 PM  1000         -     16852    0.00    0.00    0.00    0.00    0.00     2  |__cv
12:41:41 PM  1000         -     16871    6.00   12.00    0.00    2.00   18.00     6  |__cv
12:41:41 PM  1000         -     16872    9.00   10.00    0.00    0.00   19.00     1  |__Aggregator
12:41:41 PM  1000         -     16873    0.00    1.00    0.00    0.00    1.00     3  |__cv
12:41:41 PM  1000         -     16874    1.00    4.00    0.00    0.00    5.00     3  |__cv
Average:     1000     16845         -   34.10   77.10    0.00    0.00  111.20     -  cv
Average:     1000         -     16845    0.00    0.00    0.00    0.00    0.00     -  |__cv
Average:     1000         -     16846    2.40    7.90    0.00    4.50   10.30     -  |__worker
Average:     1000         -     16847    3.30    6.60    0.00    3.80    9.90     -  |__worker
Average:     1000         -     16848    3.30    7.80    0.00    0.70   11.10     -  |__worker
Average:     1000         -     16849    3.10    8.00    0.00    1.00   11.10     -  |__worker
Average:     1000         -     16850    2.80    7.30    0.00    6.40   10.10     -  |__worker
Average:     1000         -     16851    2.70    7.20    0.00    5.90    9.90     -  |__worker
Average:     1000         -     16852    0.00    0.00    0.00    0.00    0.00     -  |__cv
Average:     1000         -     16871    6.90   16.70    0.00    2.40   23.60     -  |__cv
Average:     1000         -     16872    8.30   11.40    0.00    0.20   19.70     -  |__Aggregator
Average:     1000         -     16873    0.90    0.80    0.00    0.00    1.70     -  |__cv
Average:     1000         -     16874    0.40    3.30    0.00    0.10    3.70     -  |__cv
