Linux 6.1.84-8-rk2410 (rock-5c) 	02/25/2026 	_aarch64_	(8 CPU)

12:22:26 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:22:27 PM  1000     14312         -   31.00   78.00    0.00    0.00  109.00     6  cv
12:22:27 PM  1000         -     14312    0.00    0.00    0.00    0.00    0.00     6  |__cv
12:22:27 PM  1000         -     14313    3.00    9.00    0.00    0.00   12.00     4  |__worker
12:22:27 PM  1000         -     14314    5.00   12.00    0.00    4.00   17.00     5  |__worker
12:22:27 PM  1000         -     14315    4.00   10.00    0.00    1.00   14.00     6  |__worker
12:22:27 PM  1000         -     14316    3.00    8.00    0.00    3.00   11.00     7  |__worker
12:22:27 PM  1000         -     14317    0.00    0.00    0.00    0.00    0.00     0  |__cv
12:22:27 PM  1000         -     14364    7.00   24.00    0.00    3.00   31.00     2  |__cv
12:22:27 PM  1000         -     14365    8.00   10.00    0.00    0.00   18.00     6  |__Aggregator
12:22:27 PM  1000         -     14366    1.00    0.00    0.00    0.00    1.00     7  |__cv
12:22:27 PM  1000         -     14369    0.00    5.00    0.00    1.00    5.00     0  |__cv
12:22:28 PM  1000     14312         -   32.00   83.00    0.00    0.00  115.00     6  cv
12:22:28 PM  1000         -     14312    0.00    0.00    0.00    0.00    0.00     6  |__cv
12:22:28 PM  1000         -     14313    4.00    9.00    0.00    1.00   13.00     4  |__worker
12:22:28 PM  1000         -     14314    4.00   10.00    0.00    0.00   14.00     5  |__worker
12:22:28 PM  1000         -     14315    3.00   12.00    0.00    1.00   15.00     6  |__worker
12:22:28 PM  1000         -     14316    3.00   10.00    0.00    0.00   13.00     7  |__worker
12:22:28 PM  1000         -     14317    0.00    0.00    0.00    0.00    0.00     0  |__cv
12:22:28 PM  1000         -     14364    7.00   26.00    0.00    2.00   33.00     3  |__cv
12:22:28 PM  1000         -     14365    9.00   13.00    0.00    0.00   22.00     2  |__Aggregator
12:22:28 PM  1000         -     14366    1.00    1.00    0.00    0.00    2.00     6  |__cv
12:22:28 PM  1000         -     14369    1.00    3.00    0.00    0.00    4.00     2  |__cv
12:22:29 PM  1000     14312         -   28.00   86.00    0.00    0.00  114.00     6  cv
12:22:29 PM  1000         -     14312    0.00    0.00    0.00    0.00    0.00     6  |__cv
12:22:29 PM  1000         -     14313    3.00   10.00    0.00    0.00   13.00     4  |__worker
12:22:29 PM  1000         -     14314    5.00   12.00    0.00    1.00   17.00     5  |__worker
12:22:29 PM  1000         -     14315    4.00   12.00    0.00    1.00   16.00     6  |__worker
12:22:29 PM  1000         -     14316    1.00   11.00    0.00    1.00   12.00     7  |__worker
12:22:29 PM  1000         -     14317    0.00    0.00    0.00    0.00    0.00     0  |__cv
12:22:29 PM  1000         -     14364    7.00   24.00    0.00    2.00   31.00     2  |__cv
12:22:29 PM  1000         -     14365    8.00   14.00    0.00    0.00   22.00     3  |__Aggregator
12:22:29 PM  1000         -     14366    0.00    0.00    0.00    0.00    0.00     7  |__cv
12:22:29 PM  1000         -     14369    0.00    3.00    0.00    0.00    3.00     7  |__cv
12:22:30 PM  1000     14312         -   30.00   77.00    0.00    0.00  107.00     6  cv
12:22:30 PM  1000         -     14312    0.00    0.00    0.00    0.00    0.00     6  |__cv
12:22:30 PM  1000         -     14313    1.00    9.00    0.00    1.00   10.00     4  |__worker
12:22:30 PM  1000         -     14314    4.00   10.00    0.00    1.00   14.00     5  |__worker
12:22:30 PM  1000         -     14315    5.00   10.00    0.00    0.00   15.00     6  |__worker
12:22:30 PM  1000         -     14316    4.00    9.00    0.00    1.00   13.00     7  |__worker
12:22:30 PM  1000         -     14317    0.00    0.00    0.00    0.00    0.00     0  |__cv
12:22:30 PM  1000         -     14364    8.00   23.00    0.00    4.00   31.00     6  |__cv
12:22:30 PM  1000         -     14365    7.00   13.00    0.00    0.00   20.00     1  |__Aggregator
12:22:30 PM  1000         -     14366    1.00    0.00    0.00    0.00    1.00     2  |__cv
12:22:30 PM  1000         -     14369    0.00    3.00    0.00    0.00    3.00     7  |__cv
12:22:31 PM  1000     14312         -   34.00   87.00    0.00    0.00  121.00     6  cv
12:22:31 PM  1000         -     14312    0.00    0.00    0.00    0.00    0.00     6  |__cv
12:22:31 PM  1000         -     14313    6.00    8.00    0.00    0.00   14.00     4  |__worker
12:22:31 PM  1000         -     14314    5.00   12.00    0.00    1.00   17.00     5  |__worker
12:22:31 PM  1000         -     14315    4.00   13.00    0.00    3.00   17.00     6  |__worker
12:22:31 PM  1000         -     14316    3.00   10.00    0.00    0.00   13.00     7  |__worker
12:22:31 PM  1000         -     14317    0.00    0.00    0.00    0.00    0.00     0  |__cv
12:22:31 PM  1000         -     14364    8.00   26.00    0.00    3.00   34.00     7  |__cv
12:22:31 PM  1000         -     14365    6.00   13.00    0.00    1.00   19.00     2  |__Aggregator
12:22:31 PM  1000         -     14366    1.00    1.00    0.00    0.00    2.00     0  |__cv
12:22:31 PM  1000         -     14369    1.00    4.00    0.00    0.00    5.00     3  |__cv
12:22:32 PM  1000     14312         -   31.00   67.00    0.00    0.00   98.00     6  cv
12:22:32 PM  1000         -     14312    0.00    0.00    0.00    0.00    0.00     6  |__cv
12:22:32 PM  1000         -     14313    3.00    9.00    0.00    1.00   12.00     4  |__worker
12:22:32 PM  1000         -     14314    4.00   10.00    0.00    1.00   14.00     5  |__worker
12:22:32 PM  1000         -     14315    5.00    9.00    0.00    0.00   14.00     6  |__worker
12:22:32 PM  1000         -     14316    2.00    9.00    0.00    1.00   11.00     7  |__worker
12:22:32 PM  1000         -     14317    0.00    0.00    0.00    0.00    0.00     0  |__cv
12:22:32 PM  1000         -     14364    6.00   15.00    0.00    4.00   21.00     0  |__cv
12:22:32 PM  1000         -     14365   10.00   11.00    0.00    0.00   21.00     1  |__Aggregator
12:22:32 PM  1000         -     14366    1.00    0.00    0.00    0.00    1.00     3  |__cv
12:22:32 PM  1000         -     14369    0.00    3.00    0.00    0.00    3.00     0  |__cv
12:22:33 PM  1000     14312         -   31.00   75.00    0.00    0.00  106.00     6  cv
12:22:33 PM  1000         -     14312    0.00    0.00    0.00    0.00    0.00     6  |__cv
12:22:33 PM  1000         -     14313    5.00    7.00    0.00    2.00   12.00     4  |__worker
12:22:33 PM  1000         -     14314    4.00   13.00    0.00    1.00   17.00     5  |__worker
12:22:33 PM  1000         -     14315    5.00   11.00    0.00    2.00   16.00     6  |__worker
12:22:33 PM  1000         -     14316    4.00    9.00    0.00    2.00   13.00     7  |__worker
12:22:33 PM  1000         -     14317    0.00    0.00    0.00    0.00    0.00     0  |__cv
12:22:33 PM  1000         -     14364    7.00   17.00    0.00    4.00   24.00     6  |__cv
12:22:33 PM  1000         -     14365    5.00   14.00    0.00    0.00   19.00     2  |__Aggregator
12:22:33 PM  1000         -     14366    1.00    1.00    0.00    0.00    2.00     3  |__cv
12:22:33 PM  1000         -     14369    0.00    2.00    0.00    0.00    2.00     3  |__cv
12:22:34 PM  1000     14312         -   28.00   71.00    0.00    0.00   99.00     6  cv
12:22:34 PM  1000         -     14312    0.00    0.00    0.00    0.00    0.00     6  |__cv
12:22:34 PM  1000         -     14313    4.00    8.00    0.00    1.00   12.00     4  |__worker
12:22:34 PM  1000         -     14314    3.00   11.00    0.00    2.00   14.00     5  |__worker
12:22:34 PM  1000         -     14315    4.00   10.00    0.00    2.00   14.00     6  |__worker
