Linux 6.1.84-8-rk2410 (rock-5c) 	02/25/2026 	_aarch64_	(8 CPU)

09:35:06 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:35:07 AM  all    2.42    0.00    5.47    0.00    0.00    0.13    0.00    0.00    0.00   91.98
09:35:07 AM    0    0.00    0.00    4.17    0.00    0.00    0.00    0.00    0.00    0.00   95.83
09:35:07 AM    1    3.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   95.00
09:35:07 AM    2    3.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.91
09:35:07 AM    3    1.98    0.00   11.88    0.00    0.00    0.00    0.00    0.00    0.00   86.14
09:35:07 AM    4    4.08    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00   87.76
09:35:07 AM    5    3.03    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   89.90
09:35:07 AM    6    2.06    0.00    5.15    0.00    0.00    0.00    0.00    0.00    0.00   92.78
09:35:07 AM    7    2.04    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   91.84

09:35:07 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:35:08 AM  all    3.16    0.00    4.29    0.00    0.00    0.13    0.00    0.00    0.00   92.42
09:35:08 AM    0    3.12    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   93.75
09:35:08 AM    1    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
09:35:08 AM    2    2.97    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   95.05
09:35:08 AM    3    0.00    0.00    9.09    0.00    0.00    1.01    0.00    0.00    0.00   89.90
09:35:08 AM    4    3.96    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   91.09
09:35:08 AM    5    5.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
09:35:08 AM    6    4.04    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   89.90
09:35:08 AM    7    4.12    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   91.75

09:35:08 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:35:09 AM  all    5.43    0.00    4.42    0.00    0.00    0.00    0.00    0.00    0.00   90.15
09:35:09 AM    0    5.21    0.00    4.17    0.00    0.00    0.00    0.00    0.00    0.00   90.62
09:35:09 AM    1    0.00    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   97.94
09:35:09 AM    2    2.02    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   92.93
09:35:09 AM    3    1.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
09:35:09 AM    4    4.95    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   92.08
09:35:09 AM    5   17.17    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   77.78
09:35:09 AM    6    3.09    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   94.85
09:35:09 AM    7    9.71    0.00    5.83    0.00    0.00    0.00    0.00    0.00    0.00   84.47

09:35:09 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:35:10 AM  all    2.02    0.00    3.53    0.00    0.00    0.00    0.00    0.00    0.00   94.45
09:35:10 AM    0    3.06    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   94.90
09:35:10 AM    1    4.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
09:35:10 AM    2    1.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.97
09:35:10 AM    3    1.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:35:10 AM    4    0.99    0.00    7.92    0.00    0.00    0.00    0.00    0.00    0.00   91.09
09:35:10 AM    5    3.06    0.00    7.14    0.00    0.00    0.00    0.00    0.00    0.00   89.80
09:35:10 AM    6    2.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:35:10 AM    7    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97

09:35:10 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:35:11 AM  all    3.33    0.00    4.74    0.00    0.00    0.00    0.00    0.00    0.00   91.93
